ID zgłoszenia,Tytuł zgłoszenia,Deskrypcjon,Dopasowana reguła,Typ zgłoszenia,Data utworzenia zgłoszenia,Oczekiwany wynik,Pewność
1001,awaria switcha w szafie rack,Opis: awaria switcha w szafie rack Działanie naprawcze: Przełączono na łącze zapasowe. Podsumowanie: Dostęp do internetu i intranetu przywrócony.,Inne,[System] Incident,01.11.2025 18:24:29,0,0.0
1002,Awaria: Nie dziala logowanie do portalu pracowniczego,Opis: Awaria: Nie dziala logowanie do portalu pracowniczego Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Użytkownik zalogował się pomyślnie.,Inne,[System] Service request,01.11.2025 13:01:46,0,0.0
1003,Incydent: Brak reakcji interfejsu na dotyk - freeze wymagany twardy reset - stanowisko nieczynne.,Opis: Incydent: Brak reakcji interfejsu na dotyk - freeze wymagany twardy reset - stanowisko nieczynne. Działanie naprawcze: Wykonano pełny restart stanowiska kasowego. Podsumowanie: Aplikacja działa płynnie po restarcie.,POS - Zawieszenie aplikacji,[System] Incident,01.11.2025 09:37:52,4,0.9
1004,Błąd renderowania ikon na pasku statusu zasłania przyciski funkcyjne kod błędu GUI-102,Opis: Błąd renderowania ikon na pasku statusu zasłania przyciski funkcyjne kod błędu GUI-102 Działanie naprawcze: Wyczyszczono cache graficzny aplikacji. Podsumowanie: Błąd graficzny ustąpił po restarcie aplikacji.,POS - Błąd interfejsu,[System] Incident,01.11.2025 14:51:06,3,0.9
1005,Mysz bezprzewodowa nie paruje się z odbiornikiem,"Opis: Mysz bezprzewodowa nie paruje się z odbiornikiem Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Zgłoszenie zamknięte, sprzęt sprawny.",Inne,[System] Incident,01.11.2025 11:53:19,0,0.0
1006,Excel zawiesza się przy otwieraniu pliku,Opis: Excel zawiesza się przy otwieraniu pliku Działanie naprawcze: Dodano wyjątek w zaporze sieciowej. Podsumowanie: Błąd nie występuje po aktualizacji.,Inne,[System] Incident,01.11.2025 21:04:09,0,0.0
1007,Problem techniczny: Mysz bezprzewodowa nie paruje się z odbiornikiem,Opis: Problem techniczny: Mysz bezprzewodowa nie paruje się z odbiornikiem Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Urządzenie przywrócone do pełnej sprawności.,Inne,[System] Incident,01.11.2025 13:51:44,0,0.0
1008,Prośba o nadanie uprawnień do grupy,Opis: Prośba o nadanie uprawnień do grupy Działanie naprawcze: Odblokowano konto w Active Directory. Podsumowanie: Użytkownik zalogował się pomyślnie.,Inne,[System] Service request,01.11.2025 11:33:18,0,0.0
1009,Monitor zewnętrzny nie wykrywa sygnału,Opis: Monitor zewnętrzny nie wykrywa sygnału Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Sprzęt działa poprawnie po wymianie.,Inne,[System] Incident,01.11.2025 08:16:42,0,0.0
1010,Błąd licencji pakietu Office,"Opis: Błąd licencji pakietu Office Działanie naprawcze: Wyczyszczono profil użytkownika i pliki tymczasowe. Podsumowanie: Problem rozwiązany, użytkownik może pracować.",Inne,[System] Incident,01.11.2025 16:12:44,0,0.0
1011,Incydent: Teams nie łączy z spotkaniem,Opis: Incydent: Teams nie łączy z spotkaniem Działanie naprawcze: Wyczyszczono profil użytkownika i pliki tymczasowe. Podsumowanie: Dostęp do zasobów sieciowych przywrócony.,Inne,[System] Incident,01.11.2025 13:35:56,0,0.0
1012,brak tonera w drukarce korytarzowej - stanowisko nieczynne.,Opis: brak tonera w drukarce korytarzowej - stanowisko nieczynne. Działanie naprawcze: Przeczyszczono styki i sprawdzono okablowanie. Podsumowanie: Urządzenie przywrócone do pełnej sprawności.,Inne,[System] Incident,01.11.2025 08:28:45,0,0.0
1013,Mysz bezprzewodowa nie paruje się z odbiornikiem,Opis: Mysz bezprzewodowa nie paruje się z odbiornikiem Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Sprzęt działa poprawnie po wymianie.,Inne,[System] Incident,01.11.2025 20:59:20,0,0.0
1014,Błąd synchronizacji hasła,Opis: Błąd synchronizacji hasła Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Uprawnienia zostały zaktualizowane.,Inne,[System] Service request,01.11.2025 19:46:10,0,0.0
1015,Błąd krytyczny bazy danych podczas zamknięcia dnia - wymagany restart nie pomógł.,"Opis: Błąd krytyczny bazy danych podczas zamknięcia dnia - wymagany restart nie pomógł. Działanie naprawcze: Oczyszczono pliki tymczasowe transakcji i ponowiono proces zamknięcia. Podsumowanie: Problem rozwiązany, zamknięcie dnia zakończone sukcesem.",POS - Błąd zamknięcia doby,[System] Incident,01.11.2025 14:39:02,3,0.9
1016,Brak reakcji interfejsu na dotyk - freeze stanowisko nr 12 - wymagany restart nie pomógł.,"Opis: Brak reakcji interfejsu na dotyk - freeze stanowisko nr 12 - wymagany restart nie pomógł. Działanie naprawcze: Wykonano pełny restart stanowiska kasowego. Podsumowanie: Problem rozwiązany, zalecana obserwacja wydajności.",POS - Zawieszenie aplikacji,[System] Incident,01.11.2025 18:57:18,4,0.9
1017,Awaria kontrolera dotyku w kiosku samoobsługowym błąd krytyczny aplikacji,"Opis: Awaria kontrolera dotyku w kiosku samoobsługowym błąd krytyczny aplikacji Działanie naprawcze: Sprawdzono połączenia wewnętrzne kiosku. Podsumowanie: Kiosk uruchomił się poprawnie, dotyk działa.",Kiosk - Awaria dotyku,[System] Incident,01.11.2025 09:49:25,6,0.9
1018,Prośba o wsparcie: Błąd licencji pakietu Office,Opis: Prośba o wsparcie: Błąd licencji pakietu Office Działanie naprawcze: Dodano wyjątek w zaporze sieciowej. Podsumowanie: Dostęp do zasobów sieciowych przywrócony.,Inne,[System] Incident,01.11.2025 14:37:23,0,0.0
1019,Prośba o wsparcie: Niemożność zapisu transakcji punktowej - błąd DB błąd bazy danych system lojalnościowy,Opis: Prośba o wsparcie: Niemożność zapisu transakcji punktowej - błąd DB błąd bazy danych system lojalnościowy Działanie naprawcze: Zweryfikowano połączenie internetowe z chmurą loyalty. Podsumowanie: Awaria globalna usunięta przez dostawcę.,Loyalty - Niedostępność serwisu,[System] Incident,01.11.2025 20:16:32,4,0.9
1020,Brak uprawnień do funkcji kierowniczych karta magnetyczna nieaktywna - prośba o pilną weryfikację. błąd autoryzacji,Opis: Brak uprawnień do funkcji kierowniczych karta magnetyczna nieaktywna - prośba o pilną weryfikację. błąd autoryzacji Działanie naprawcze: Zresetowano hasło użytkownika w systemie centralnym. Podsumowanie: Użytkownik zalogował się poprawnie nowym hasłem.,Dostęp - Błąd autoryzacji POS,[System] Service request,01.11.2025 13:49:25,4,0.9
1021,Incydent: Czytnik nie dekoduje standardu EAN-13 stanowisko 4 błąd interfejsu USB czytnik kodów,"Opis: Incydent: Czytnik nie dekoduje standardu EAN-13 stanowisko 4 błąd interfejsu USB czytnik kodów Działanie naprawcze: Przepięto skaner do innego portu USB. Podsumowanie: Skaner działa poprawnie, kody są odczytywane.",Skaner - Błąd sterownika,[System] Incident,01.11.2025 13:33:33,4,0.9
1022,Problem z certyfikatem VPN,Opis: Problem z certyfikatem VPN Działanie naprawcze: Zaktualizowano system operacyjny i sterowniki. Podsumowanie: Dostęp do zasobów sieciowych przywrócony.,Inne,[System] Incident,01.11.2025 12:12:36,0,0.0
1023,Błąd uruchamiania Microsoft Outlook,"Opis: Błąd uruchamiania Microsoft Outlook Działanie naprawcze: Przeinstalowano pakiet oprogramowania biurowego. Podsumowanie: Problem rozwiązany, użytkownik może pracować.",Inne,[System] Incident,01.11.2025 17:31:37,0,0.0
1024,awaria: Słuchawki z mikrofonem nie są wykrywane przez system,"Opis: awaria: Słuchawki z mikrofonem nie są wykrywane przez system Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Zgłoszenie zamknięte, sprzęt sprawny.",Inne,[System] Incident,01.11.2025 17:07:22,0,0.0
1025,mysz bezprzewodowa nie paruje się z odbiornikiem,Opis: mysz bezprzewodowa nie paruje się z odbiornikiem Działanie naprawcze: Zaktualizowano firmware urządzenia. Podsumowanie: Urządzenie przywrócone do pełnej sprawności.,Inne,[System] Incident,01.11.2025 15:26:25,0,0.0
1026,Awaria: Zablokowane konto domenowe AD,Opis: Awaria: Zablokowane konto domenowe AD Działanie naprawcze: Odblokowano konto w Active Directory. Podsumowanie: Problem z logowaniem rozwiązany.,Inne,[System] Service request,01.11.2025 13:42:14,0,0.0
1027,Utrata połączenia z serwerem plików - blokuje obsługę klienta.,Opis: Utrata połączenia z serwerem plików - blokuje obsługę klienta. Działanie naprawcze: Skonfigurowano ponownie parametry karty sieciowej. Podsumowanie: Awaria infrastruktury usunięta.,Inne,[System] Incident,01.11.2025 17:18:04,0,0.0
1028,Problem z zasilaczem do laptopa Dell,Opis: Problem z zasilaczem do laptopa Dell Działanie naprawcze: Wymieniono sprzęt na zapasowy z magazynu IT. Podsumowanie: Urządzenie przywrócone do pełnej sprawności.,Inne,[System] Incident,01.11.2025 15:01:27,0,0.0
1029,Brak dostępu do sieci Wi-Fi,Opis: Brak dostępu do sieci Wi-Fi Działanie naprawcze: Zrestartowano urządzenia sieciowe w lokalizacji. Podsumowanie: Dostęp do internetu i intranetu przywrócony.,Inne,[System] Incident,01.11.2025 12:46:33,0,0.0
1030,Wymagany serwis: Utrata połączenia z serwerem plików,Opis: Wymagany serwis: Utrata połączenia z serwerem plików Działanie naprawcze: Sprawdzono trasę pakietów i odblokowano porty. Podsumowanie: Dostęp do internetu i intranetu przywrócony.,Inne,[System] Incident,01.11.2025 19:10:47,0,0.0
1031,Prośba o nadanie uprawnień do grupy,Opis: Prośba o nadanie uprawnień do grupy Działanie naprawcze: Odblokowano konto w Active Directory. Podsumowanie: Dostęp do konta przywrócony.,Inne,[System] Service request,01.11.2025 07:56:31,0,0.0
1032,Awaria stacji dokującej laptopa,"Opis: Awaria stacji dokującej laptopa Działanie naprawcze: Zgłoszono naprawę gwarancyjną u producenta. Podsumowanie: Zgłoszenie zamknięte, sprzęt sprawny.",Inne,[System] Incident,01.11.2025 18:59:09,0,0.0
1033,Teams nie łączy z spotkaniem,Opis: Teams nie łączy z spotkaniem Działanie naprawcze: Dodano wyjątek w zaporze sieciowej. Podsumowanie: Aplikacja uruchamia się poprawnie.,Inne,[System] Incident,01.11.2025 18:02:00,0,0.0
1034,Zgłoszenie awarii: Timeout połączenia z bramką zamówień mobilnych zamówienie nie dociera do POS aplikacja lojalnościowa,Opis: Zgłoszenie awarii: Timeout połączenia z bramką zamówień mobilnych zamówienie nie dociera do POS aplikacja lojalnościowa Działanie naprawcze: Zgłoszono problem do zespołu deweloperskiego aplikacji mobilnej. Podsumowanie: Kupony są ponownie walidowane poprawnie.,Aplikacja mobilna - Błąd API,[System] Incident,01.11.2025 14:06:37,4,0.9
1035,Błąd synchronizacji hasła,Opis: Błąd synchronizacji hasła Działanie naprawcze: Zwiększono limit quota dla skrzynki pocztowej. Podsumowanie: Uprawnienia zostały zaktualizowane.,Inne,[System] Service request,01.11.2025 15:55:53,0,0.0
1036,Incydent: Artefakty graficzne w interfejsie użytkownika pojawia się po zalogowaniu,"Opis: Incydent: Artefakty graficzne w interfejsie użytkownika pojawia się po zalogowaniu Działanie naprawcze: Przeładowano interfejs użytkownika (UI Reload). Podsumowanie: Interfejs wyświetla się poprawnie, artefakty zniknęły.",POS - Błąd interfejsu,[System] Incident,01.11.2025 16:42:26,3,0.9
1037,Utrata komunikacji z terminalem płatniczym (PED) model Ingenico,Opis: Utrata komunikacji z terminalem płatniczym (PED) model Ingenico Działanie naprawcze: Sprawdzono i dociśnięto okablowanie terminala. Podsumowanie: Terminal loguje się do sieci poprawnie.,Terminal - Błąd komunikacji,[System] Incident,01.11.2025 11:24:18,3,0.9
1038,Bład czujnika otwarcia szuflady klucz utknąl w zamku awaria mechaniczna - prośba o interwencję.,Opis: Bład czujnika otwarcia szuflady klucz utknąl w zamku awaria mechaniczna - prośba o interwencję. Działanie naprawcze: Otwarto szufladę awaryjnie kluczem i sprawdzono mechanizm. Podsumowanie: Szuflada otwiera się automatycznie.,Szuflada - Awaria otwarcia,[System] Incident,01.11.2025 09:23:19,3,0.9
1039,Dotyczy: Błąd synchronizacji hasła,Opis: Dotyczy: Błąd synchronizacji hasła Działanie naprawcze: Zresetowano hasło i wymuszono zmianę przy logowaniu. Podsumowanie: Uprawnienia zostały zaktualizowane.,Inne,[System] Service request,01.11.2025 11:46:25,0,0.0
1040,Nie działa logowanie do portalu pracowniczego,Opis: Nie działa logowanie do portalu pracowniczego Działanie naprawcze: Zwiększono limit quota dla skrzynki pocztowej. Podsumowanie: Uprawnienia zostały zaktualizowane.,Inne,[System] Service request,01.11.2025 09:11:28,0,0.0
1041,Brak sygnału sterującego otwarciem szuflady (RJ11) stanowisko 13 awaria mechaniczna - stanowisko nieczynne.,Opis: Brak sygnału sterującego otwarciem szuflady (RJ11) stanowisko 13 awaria mechaniczna - stanowisko nieczynne. Działanie naprawcze: Wymieniono wkład szuflady na zapasowy. Podsumowanie: Szuflada otwiera się automatycznie.,Szuflada - Awaria otwarcia,[System] Incident,01.11.2025 13:42:05,6,0.9
1042,Adobe Reader nie otwiera plików PDF - błąd powtarzalny.,Opis: Adobe Reader nie otwiera plików PDF - błąd powtarzalny. Działanie naprawcze: Zaktualizowano system operacyjny i sterowniki. Podsumowanie: Dostęp do zasobów sieciowych przywrócony.,Inne,[System] Incident,01.11.2025 19:40:35,0,0.0
1043,Monitor zewnętrzny nie wykrywa sygnału,Opis: Monitor zewnętrzny nie wykrywa sygnału Działanie naprawcze: Wymieniono sprzęt na zapasowy z magazynu IT. Podsumowanie: Sprzęt działa poprawnie po wymianie.,Inne,[System] Incident,01.11.2025 16:44:46,0,0.0
1044,Utrata komunikacji z terminalem płatniczym (PED) model Verifone brak sygnału - błąd powtarzalny.,Opis: Utrata komunikacji z terminalem płatniczym (PED) model Verifone brak sygnału - błąd powtarzalny. Działanie naprawcze: Skonfigurowano ponownie adres IP terminala w ustawieniach POS. Podsumowanie: Terminal loguje się do sieci poprawnie.,Terminal - Błąd komunikacji,[System] Incident,01.11.2025 19:23:08,6,0.9
